,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo,uri,duration_ms
109,0.852,0.721,-7.4,0.0751,0.354,0.11,0.8029999999999999,136.07,spotify:track:1LpFxoC3TDeUSjU2qp3Iu1,140187
110,0.6940000000000001,0.514,-11.063,0.0449,0.0336,0.115,0.136,120.011,spotify:track:3MAfAtD9lKvugbWzaz21LS,142000
111,0.595,0.3329999999999999,-13.235,0.0416,0.474,0.0998,0.105,124.993,spotify:track:63biRmMYSLjClGv5arakyn,123167
112,0.721,0.8029999999999999,-9.115,0.0822,0.557,0.109,0.175,161.502,spotify:track:5m5aCXvh8q8fBNcGzneWQt,178167
113,0.846,0.616,-7.82,0.0669,0.0129,0.1009999999999999,0.133,125.975,spotify:track:6YhDanPMUpBxzIOB8jlgOG,106250
114,0.76,0.5760000000000001,-8.238,0.0491,0.11,0.1939999999999999,0.184,218.082,spotify:track:37fcOImXwKOFOUwKYud0W0,140750
115,0.529,0.8170000000000001,-10.039,0.0945,0.0198,0.178,0.181,120.01,spotify:track:12WAcEcT03Hkvdwb343fcU,128261
116,0.5589999999999999,0.514,-8.78,0.0523,0.0203,0.0982,0.0911,139.614,spotify:track:4Ms7qEi3z5qNjpD41OWHhf,123500
117,0.965,0.59,-8.639,0.0619,0.607,0.0917,0.462,129.004,spotify:track:3sRfyb4OsHeKhN9yMmXdPz,144735
118,0.596,0.8809999999999999,-4.566,0.2689999999999999,0.0031899999999999,0.0798,0.235,172.139,spotify:track:6IBsaKAy1kDhsqDK9niOht,67030
119,0.7120000000000001,0.982,-2.386,0.289,0.0127,0.147,0.5489999999999999,208.096,spotify:track:0zltCbKuXQlZi0DHEli83W,115383
120,0.6970000000000001,0.873,-3.189,0.206,0.1369999999999999,0.22,0.545,132.999,spotify:track:4a9j7bIg4BT9J87pQT7b8j,151667
121,0.841,0.516,-12.32,0.28,0.0892,0.0781,0.26,120.007,spotify:track:1RlZcBrZ2215I0RIS5ElT0,152137
122,0.7390000000000001,0.4629999999999999,-5.4510000000000005,0.293,0.00673,0.423,0.0457,200.092,spotify:track:7EuMuKPHTUKw97m0KJHbtx,175386
123,0.865,0.8909999999999999,-5.617999999999999,0.265,0.0866,0.0842,0.6709999999999999,200.074,spotify:track:69m28mCqbgVcDI8GEkUzWw,125048
124,0.775,0.634,-7.535,0.105,0.176,0.0628,0.521,200.064,spotify:track:0yOvaZL3DVgvYjzYKfilSF,184189
125,0.7390000000000001,0.498,-7.447999999999999,0.371,0.136,0.0939,0.231,139.86700000000002,spotify:track:33wSeazReUjdpjlpG2O7gI,164807
126,0.725,0.578,-8.311,0.0864,0.0259,0.387,0.0595,129.961,spotify:track:6NGpZZYR8pzj7jo6oc2icJ,133068
127,0.63,0.8759999999999999,-4.871,0.1889999999999999,0.0166,0.223,0.256,210.134,spotify:track:3YmPKPB5B6bfCZYgF0wmiq,150831
128,0.7040000000000001,0.838,-4.042,0.29,0.0854,0.102,0.348,119.866,spotify:track:7l6Wb98Dnxb5n1ufADNHLa,218201
129,0.735,0.8109999999999999,-3.735,0.0601,0.11,0.528,0.42,207.852,spotify:track:1ojp0kfnXyRvr5cemuU0qD,100807
130,0.8640000000000001,0.727,-5.996,0.1,0.0229,0.295,0.599,119.987,spotify:track:01gihn8zKrwsafKnD3UGDz,159242
131,0.48,0.984,-0.726,0.264,0.0484,0.472,0.3929999999999999,139.958,spotify:track:5WY9OTNkgX1Sd1WluZL77F,92918
132,0.726,0.823,-4.666,0.115,0.0035299999999999,0.7070000000000001,0.156,129.99200000000002,spotify:track:6xPjbdiUqIqM3uD1B0JA1o,110793
133,0.755,0.765,-7.256,0.288,0.0272,0.565,0.401,219.89,spotify:track:5X5Kd4ULRLE5Rd7p8tmahp,144018
134,0.8809999999999999,0.445,-9.83,0.107,0.00209,0.114,0.0379,124.972,spotify:track:11eVByVk8tL0JSBFlvan5i,138240
135,0.8490000000000001,0.98,-0.964,0.0575,0.254,0.551,0.295,219.988,spotify:track:21cGO6AxAJJDTV7Po9ywZa,122182
136,0.602,0.762,-6.149,0.0347,0.0498,0.121,0.1119999999999999,184.04,spotify:track:1Xy9svIXQU6euAlGi7uutt,159987
137,0.924,0.5429999999999999,-6.612,0.0854,0.432,0.11,0.104,199.99400000000003,spotify:track:7ksRhRXztNfSwm8W7uFq1f,183159
138,0.919,0.493,-8.81,0.0613,0.14,0.122,0.159,216.152,spotify:track:6IkCht32pbDskKd8NWzWBF,126768
139,0.848,0.6629999999999999,-5.606,0.245,0.523,0.108,0.3329999999999999,133.993,spotify:track:6kl1qtQXQsFiIWRBK24Cfp,255413
140,0.475,0.7879999999999999,-4.851,0.342,0.231,0.128,0.26,206.056,spotify:track:5Uj6Zy5QoGdEZob7xRUakV,237101
141,0.762,0.41,-11.979,0.0551,0.278,0.157,0.0813,200.094,spotify:track:6oBL8TdQHEO7jeEdqECg37,271404
142,0.789,0.623,-8.337,0.138,0.242,0.0835,0.6779999999999999,203.982,spotify:track:3RAMLlYnwk3CObaU4V4RBx,151629
143,0.7559999999999999,0.794,-4.539,0.208,0.0362,0.314,0.474,140.036,spotify:track:7m1p5O2UOyQM14DVIZUwGx,137195
144,0.799,0.546,-6.081,0.3229999999999999,0.185,0.0836,0.736,150.00799999999998,spotify:track:6lsxMdXKFAXZDPe8om1iOI,182647
