,danceability,energy,loudness,mode,speechiness,acousticness,liveness,valence,tempo,duration_ms
214,0.53,0.732,-5.921,1,0.235,0.0608,0.073,0.458,132.02200000000002,178182
215,0.726,0.5489999999999999,-7.115,1,0.0925,0.00587,0.345,0.0855,138.03799999999998,159468
216,0.708,0.423,-7.582999999999998,1,0.0555,0.0156,0.136,0.0712,124.989,144960
217,0.66,0.604,-7.0,1,0.421,0.247,0.196,0.435,155.196,114177
218,0.447,0.652,-3.729,1,0.0315,0.0432,0.184,0.0367,117.009,161178
219,0.278,0.47,-15.062,1,0.0456,8.6e-05,0.14800000000000002,0.0775,137.961,202286
220,0.321,0.949,-7.2970000000000015,0,0.555,0.00334,0.579,0.196,154.996,174587
221,0.542,0.923,-5.924,1,0.306,0.00334,0.397,0.321,149.88299999999995,113333
222,0.688,0.6579999999999999,-4.155,1,0.0695,0.105,0.335,0.28,151.23,226397
223,0.953,0.38,-4.941,1,0.261,0.00957,0.127,0.128,133.941,116847
224,0.8809999999999999,0.742,-3.736,1,0.0535,0.14,0.156,0.4320000000000001,116.997,184782
225,0.897,0.662,-6.903,0,0.292,0.0852,0.534,0.389,112.511,145543
226,0.705,0.619,-5.862,1,0.085,0.14300000000000002,0.17600000000000002,0.465,146.02700000000004,237240
227,0.782,0.449,-10.708,0,0.364,0.268,0.111,0.34,116.056,120000
228,0.643,0.82,-6.2810000000000015,1,0.174,0.18600000000000005,0.101,0.266,153.102,163149
229,0.73,0.581,-5.832999999999998,0,0.0828,0.0295,0.106,0.359,137.98,180867
230,0.648,0.5429999999999999,-9.082,0,0.213,0.126,0.101,0.192,159.92700000000005,216008
231,0.481,0.604,-6.299,0,0.377,0.149,0.162,0.257,160.078,182959
232,0.738,0.581,-6.776,0,0.217,0.28,0.101,0.635,157.967,243050
233,0.84,0.539,-6.146,1,0.0965,0.0423,0.124,0.07,140.016,219429
234,0.936,0.7040000000000001,-5.47,0,0.457,0.0632,0.104,0.5660000000000001,130.02200000000002,214376
235,0.908,0.499,-7.792999999999998,0,0.642,0.267,0.078,0.114,132.968,278760
236,0.925,0.628,-7.5870000000000015,1,0.131,0.0604,0.358,0.81,120.021,222533
237,0.906,0.444,-8.692,0,0.384,0.136,0.173,0.6779999999999999,140.063,235040
238,0.8029999999999999,0.7190000000000001,-4.485,1,0.392,0.344,0.425,0.5489999999999999,129.945,238425
239,0.487,0.789,-3.69,1,0.044,0.00947,0.189,0.0564,150.007,270715
240,0.77,0.459,-6.255,1,0.0646,0.387,0.0792,0.418,146.908,169640
241,0.745,0.617,-7.22,0,0.14400000000000002,0.168,0.389,0.185,125.98,346907
242,0.887,0.627,-4.14,0,0.0468,0.0428,0.109,0.326,127.108,165869
243,0.574,0.812,-4.181,0,0.396,0.00757,0.15,0.488,147.734,125513
244,0.6809999999999999,0.608,-8.302,1,0.0779,0.0745,0.108,0.175,159.914,155727
245,0.595,0.534,-8.747,1,0.318,0.0106,0.107,0.134,162.066,225348
246,0.72,0.424,-11.964,1,0.387,0.0122,0.453,0.228,150.01,258427
247,0.5770000000000001,0.447,-5.892,1,0.277,0.00627,0.0899,0.189,148.472,247800
248,0.755,0.631,-7.9,1,0.152,0.0816,0.111,0.525,153.094,175686
249,0.737,0.562,-8.156,1,0.373,0.28300000000000003,0.0727,0.457,162.03,168312
250,0.701,0.662,-7.0139999999999985,0,0.316,0.403,0.109,0.616,132.418,148577
251,0.674,0.862,-3.4,1,0.231,0.0189,0.113,0.35700000000000004,160.07299999999995,244470
252,0.581,0.662,-5.239,1,0.303,0.0153,0.111,0.434,186.046,189487
253,0.747,0.557,-8.971,0,0.069,0.369,0.103,0.552,149.965,195200
254,0.595,0.645,-4.872,1,0.108,0.0866,0.165,0.205,134.941,157720
255,0.768,0.484,-9.1,0,0.328,0.0816,0.342,0.5479999999999999,158.967,137760
256,0.66,0.784,-7.6960000000000015,1,0.285,0.0806,0.113,0.642,157.991,236107
257,0.847,0.733,-6.439,0,0.16,0.00574,0.151,0.202,130.029,193591
258,0.7440000000000001,0.674,-7.518,0,0.0641,0.35600000000000004,0.128,0.316,134.02100000000002,200135
259,0.89,0.633,-5.475,1,0.168,0.0232,0.0993,0.425,139.94799999999998,233087
260,0.861,0.448,-8.256,1,0.111,0.00761,0.0902,0.0487,125.022,265213
261,0.772,0.7859999999999999,-5.3370000000000015,1,0.24,0.113,0.202,0.233,130.071,247055
262,0.772,0.413,-8.193,0,0.08900000000000001,0.0361,0.111,0.211,131.965,246213
263,0.728,0.628,-4.766,1,0.191,0.01,0.0735,0.393,160.94,189428
264,0.7829999999999999,0.621,-7.053,0,0.0782,0.16899999999999998,0.0909,0.411,147.97,144000
265,0.759,0.73,-7.985,0,0.0516,0.145,0.11,0.74,115.007,268434
266,0.4970000000000001,0.489,-7.724,0,0.294,0.0576,0.122,0.231,171.85299999999995,268187
267,0.7929999999999999,0.395,-5.5779999999999985,1,0.385,0.277,0.109,0.129,154.054,213287
268,0.716,0.541,-7.909,1,0.149,0.0021,0.115,0.387,139.97799999999998,247055
269,0.794,0.448,-4.771,0,0.0539,0.591,0.109,0.588,120.055,231333
